text,condition,label,score
The decor is not special at all but their food and amazing prices make up for it.,decor,Negative,0
The decor is not special at all but their food and amazing prices make up for it.,food,Positive,2
The decor is not special at all but their food and amazing prices make up for it.,prices,Positive,2
"when tables opened up, the manager sat another party before us.",tables,Neutral,1
"when tables opened up, the manager sat another party before us.",manager,Negative,0
"Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.",menu,Neutral,1
"Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.",peanut butter roll,Negative,0
"Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.",classics,Positive,2
"Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.",sushi,Positive,2
"service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.",service,Positive,2
"service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.",food,Neutral,1
PS- I just went for brunch on Saturday and the eggs served with onions and rosemary were amazing.,brunch,Neutral,1
PS- I just went for brunch on Saturday and the eggs served with onions and rosemary were amazing.,eggs served with onions,Positive,2
they didn't have to change anything about the menu except add a leg of chicken seperatley and the guy mumbled very rudely that I had already ordered and I should've decided earlier.,menu,Neutral,1
they didn't have to change anything about the menu except add a leg of chicken seperatley and the guy mumbled very rudely that I had already ordered and I should've decided earlier.,guy,Negative,0
"The server came to us and was sooo hot, he went over the menu and specials with us.",server,Positive,2
"The server came to us and was sooo hot, he went over the menu and specials with us.",menu,Neutral,1
The Food The best surprises on the El Salvadorean menu are the appetizers.,Food,Neutral,1
The Food The best surprises on the El Salvadorean menu are the appetizers.,appetizers,Positive,2
"12/24/03  Dinner was ok, service was so- so,the worst part was the hostess - we made reservations a month before Christmas Eve for three people, you would think the table would be large enough for all three of us.",Dinner,Positive,2
"12/24/03  Dinner was ok, service was so- so,the worst part was the hostess - we made reservations a month before Christmas Eve for three people, you would think the table would be large enough for all three of us.",service,Neutral,1
"12/24/03  Dinner was ok, service was so- so,the worst part was the hostess - we made reservations a month before Christmas Eve for three people, you would think the table would be large enough for all three of us.",hostess,Negative,0
"Still, after all the fuss, the food makes you forget about the wait.",food,Positive,2
"Still, after all the fuss, the food makes you forget about the wait.",wait,Neutral,1
I had to physically get out of my seat and find the waitress twice just to ask for more water.,seat,Neutral,1
I had to physically get out of my seat and find the waitress twice just to ask for more water.,waitress,Negative,0
I had to physically get out of my seat and find the waitress twice just to ask for more water.,water,Neutral,1
"When we finally got to order, we were told the bartender wasn't there, so we couldn't order any drinks.",bartender,Negative,0
"When we finally got to order, we were told the bartender wasn't there, so we couldn't order any drinks.",drinks,Neutral,1
"Three course meal for lunch was $13, the prices for dinner were just as great!",course meal,Neutral,1
"Three course meal for lunch was $13, the prices for dinner were just as great!",lunch,Neutral,1
"Three course meal for lunch was $13, the prices for dinner were just as great!",prices,Positive,2
"Three course meal for lunch was $13, the prices for dinner were just as great!",dinner,Neutral,1
"but such remark depicts the worldly somelier/owner/janitor of LPF, who is a true gourmand savvy not only in wine but in the basics of good eat.",wine,Neutral,1
"but such remark depicts the worldly somelier/owner/janitor of LPF, who is a true gourmand savvy not only in wine but in the basics of good eat.",eat,Positive,2
"The service was impeccible, the menu traditional but inventive and presentation for the mostpart excellent but the food itself came up short.",service,Positive,2
