text,condition,label,score
The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues .,warrenty,Negative,0
"The screen is bright and vivid and the keyboard is very easy to use , very important for use quick typers .",screen,Positive,2
"Even though it is running Snow Leopard , 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel .",spinning wheel,Negative,0
"I also love the design , the looks , the feel , and the my toshiba feature is wonderfull .",looks,Positive,2
"In the shop , these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it , get it home , break the seal and use it -LRB- very clever con -RRB- .",rubber enclosure,Positive,2
I took 3-4 years researching brands and prices of laptops .,prices,Neutral,1
I have other computers that get strong signals that do n't drop in places that this `` net `` book loses its signal .,signal,Negative,0
i have tried to charge on different batteries with no luck .,batteries,Negative,0
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid , -LRB- mind you this was my means of communication with my fiance who was deployed -RRB- but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",built-in mic,Negative,0
"The graphics and screen are stunning and although I was a PC person , I was able to understand how to use a mac fairly quickly .",screen,Positive,2
"Newegg 's RMA service was great as always , I contacted them late Friday night , and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday .",RMA service,Positive,2
Tried to make a recovey disk wouldnt get passed the first recovery disk .,recovey disk,Negative,0
But the arm velcro is torn after one use .,arm velcro,Negative,0
"I picked it out because it was inexpensive -LRB- $ 400 -RRB- and I thought it would be a good , easy to use first laptop .",use,Positive,2
"It is easy to use , its keyboard easily accommodates large hands , and its weight is fantasic .",use,Positive,2
They claim call center is still down .,call center,Negative,0
"The keyboard , which generally felt okay even for someone used to a desktop keyboard , now looks terrible .",desktop keyboard,Neutral,1
"In fact , somehow -LRB- and I never opened it up -RRB- some specks of dust or something got inside the screen and are now there permanently , behind the front of the screen , in the way of the display .",screen,Negative,0
"Applications open in seconds and there are no lags , hiccups or awkward moments when you wonder whether your computer is out for tea .",Applications,Positive,2
After replacing the hard drive the battery stopped working -LRB- 3 months of use -RRB- which was frustrating .,battery,Negative,0
"it might be something deep within Windows , for I was unable to create a disk image on my hard drive .",hard drive,Negative,0
"I bought this last week , and the very next day had to return it because it over heated and the touch-mouse stopped responding .",touch-mouse,Negative,0
wonderful features .,features,Positive,2
tons of bloatware and junk programs .,programs,Negative,0
and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself .,power supply,Positive,2
"this is my second one and the same problem , bad video card unreliable overall , this will be my second time returning this laptop back to best buy .",video card,Negative,0
"The dv4 boasted a faster processor , more memory , and a bigger hard drive than my old computer , plus a better quality web cam , nicer screen , and many other features .",hard drive,Positive,2
HOW DOES THE POWER SUPPLY NOT WORK !!!,POWER SUPPLY,Negative,0
although its windows vista compared to windows xp sucks .,windows vista,Negative,0
"It was loaded with Windows Vista Home Premium -- delivered with only 1GB of RAM , and it was a * dog * .",Windows Vista Home Premium,Neutral,1
"they improved nothing else such as Resolution , appearance , cooling system , graphics card , etc. .",graphics card,Negative,0
Then it ceased charging at all .,charging,Negative,0
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of , like my cad programs .",bootcamp,Neutral,1
"One more tip , please purchase this model and get a 4GB stick of RAM to save you $ 1Negative",4GB stick of RAM,Positive,2
