sentence1,sentence2,condition,labelt,label
A guy zooming in the air on his skateboard off of a city bench.,A man on a skateboard is on a ramp in a wide open space.,The number of people.,5,5
"Young woman in orange dress about to serve in tennis game, on blue court with green sides.",A girl playing tennis wears a gray uniform and holds her black racket behind her.,The color of the dress.,5,1
"Young woman in orange dress about to serve in tennis game, on blue court with green sides.",A girl playing tennis wears a gray uniform and holds her black racket behind her.,The name of the game.,4,5
A slice of pizza and a fork sit on a tray covered in wax paper.,a close up of a person cutting a pizza with half and half toppings,The name of the food.,4,4
a close up of a giraffe laying on a ground near many large rocks,A giraffe reaches up his head on a ledge high up on a rock.,The type of animal.,5,5
a close up of a giraffe laying on a ground near many large rocks,A giraffe reaches up his head on a ledge high up on a rock.,The animal's posture.,2,2
The big brown dog looks at the small black dog in tall grass .,A dog walks in the grass towards a dog lying down .,The number of animals.,3,5
"A woman cuts a ""welcome to the neighborhood"" cake for a crowd of people.",Several people in a group are having a good time while two cakes are ready to be sliced.,The number of people.,4,4
Two teams are playing soccer in a large stadium that is filled with spectators .,A player on the red soccer team has just scored a goal while the opposing team watches the ball go in .,The game played.,5,5
one cat sits on a table while another sits on top of what looks like an old refrigerator,two cats are both on the floor and one of them is eating a snack,The animal.,3,5
A dog runs over the snow carrying a large stick in its mouth .,A black and white dog is playing with a white ball .,The type of the animals.,4,4
A man in a shirt and tie with his hands in his pockets leaning against a wall.,"The man is wearing a dress coat, suit and tie, but not dress pants. ",The gender of the person.,5,5
A baseball player batting at home plate with a catcher and umpire looking on.,"Three baseball players wait anxiously for the ball to be pitched, during a game",The name of the sport.,5,5
A woman in an oversized black shirt plays a black and red guitar in a musky room .,"A bass player girl , who is performing at a concert one of the bands songs .",The sex of the musician.,5,5
"A city highway with exit signs above that say ""Exit 7 E23 St 3/4 mile"" and ""Exit 8 495 Midtown Tun E34 St"".","A street sign pointing in one direction with the word ""Spring St"" as the other sign points in the other direction of ""Broadway"".",Where the signs are located.,2,2
White and brown dog with mouth open running on grass .,A dog with a red collar and its tongue hanging out runs through tall grass .,The color of the dog.,2,2
A long haired cat sitting on a bathroom counter in front of a mirror.,The cat lies on a mirror and its reflection looks back up at it.,The type of animal.,5,5
A small white dog leaps over a root in the woods .,a little brown dog running through a field of grass,The color of the animal.,3,3
A man is wearing a yellow jacket is wrangling an out of control horse in an outdoor stadium .,"Two men on horseback , each swinging lassos , are chasing a calf inside a rodeo ring .",The number of people.,1,1
Small children in a third world country sitting together .,Children playing in a street on makeshift skateboards .,The sport.,1,1
