index,answer1,answer2,condition,label
0,Donut Cake,Celebration Items,The name of the object.,4
1,On the table.,Celebrate.,The place of the object.,3
2,Baseball,Baseball,The name of the game.,3
3,At-bat,Strike.,The name of the action.,2
4,Upside down.,Table,The position of glass.,5
5,Upside down,Tableware.,The wine glasses.,3
6,Transit bus in motion,Parking,The activity of object.,3
7,Bus,Double decker bus.,The object.,2
8,Train cabin,Living Room,The type of place.,3
9,Train cabin interior.,Living room setup,The living area.,2
10,Dog,Dog,The type of animal.,5
11,Car window,Vehicle Side Mirror,Where the dog is visible from.,3
12,Living Room,Living room,The type of room.,4
13,Human,Dog.,The species of the one who's in the room.,1
14,Black and yellow.,Not specified.,The color of computer.,3
15,Desktop Setup,Desk with mice.,The computer with mouse.,3
16,Two individuals,Three,The number of people.,4
17,Date night.,Dining together.,The reason for the gathering.,4
18,Identification,Illumination,The object's function.,4
19,B 86 Street,11th Street,The sign's label.,2
20,Kitchen,Kitchen,The type of room.,4
21,1 stove/oven,One oven.,The amount of stoves/ovens.,2
22,Two,Two devices,The number of computers.,4
23,Cluttered,Furnished desk,The desk.,4
24,Residential,Hut,The type of building.,4
25,Bathroom,Bedroom,The type of room.,1
26,florist shop,Commercial/retail.,The building's purpose.,3
27,2 vehicles.,Several,The number of vehicles.,2
28,Sleep & Relaxation,Bedroom,The room's function.,5
29,Bedside items,Bedroom Furniture,The objects near the bed.,1
30,Multiple,One dish.,The number of dish.,4
31,cake slices,Cake,The dish.,3
32,Female,Female.,The person's gender.,4
33,Unknown,Unknown,The person's age.,1
34,Two people,Two people,The number of people.,5
35,Location,Food preparation,The kitchen.,4
36,Office workstation,Cluttered,The table.,5
37,Multiple objects,6 objects,The number of object.,4
38,Observing.,Boarding and alighting,The activity of people.,2
39,Two people,Multiple,The number of people.,1
40,Serving,Blocking,The action of player.,4
41,Tennis,Tennis,The player playing the game.,2
42,Appliance.,Stainless steel.,The dishwasher.,4
43,Loading dishwasher,Kitchen appliances,The clean.,2
44,Tennis,Tennis,The sport being played.,4
45,Audience.,Two people.,The number of people.,1
46,Skateboard,Skateboard,The item that is being used.,5
47,Skateboarder above ground.,In mid-air,The location of the person relative to the ground.,2
48,Tennis racket.,Racket,What is in the man's hand.,5
49,Nearby,Close.,Proximity of player to ball.,5
50,Train,Train,The name of the vehicle.,4
51,Colorful,Blue and yellow,The color of the vehicle.,4
52,Formal Attire,Formal attire,The type of the wearings.,5
53,1,One,The number of persons.,5
54,Refrigerator,Fridge,The appliance.,5
55,Grey,Silver,The finishing color.,2
56,Bathroom,Bathroom,The name of the place.,3
57,Neutral,Tan and white,The color of the place.,2
58,Two bikes,Two,The number of bicycles.,5
59,Beach rack,Near building,The location of the bicycles.,2
60,Tennis,Tennis,The game being played.,3
61,Tennis,Ball toss tennis,The activity differ.,3
62,Bedroom decor,Furniture and electronics,The type of objects.,2
63,Not mentioned,Hotel Room,The living room of person.,2
64,Corner.,Next to sink,The relative location of the toilet within the bathroom.,5
65,Bathroom,Bathroom,The type of room.,4
66,On table,Table,Where the food is positioned.,4
67,Pizza,Pizza,The type of food involved.,4
68,Elephant,Elephant,The animal.,5
69,Playful behavior,Animal sports,The activity of animal.,5
70,Objects resting.,Items Displayed,The activity of the object.,2
71,Objects on Couch,Table_contents,The name of the object.,1
72,Dessert, Dessert,The type of meal.,5
73,Dessert,Dessert,The type of food.,2
74,Tennis.,Tennis.,The sport.,5
75,Pink,Yellow,The color of object.,4
76,Wood,Wood.,The material of the objects.,3
77,Kitchen,Kitchen,The type of room.,3
78,Giraffe.,Giraffe,The animal.,2
79,Large,Large,The size of animal.,2
80,Afternoon tea,Dessert and drinks.,The type of meal.,4
81,Seven Items,3 items.,The number of objects.,3
82,Casual.,Casual outfit,The type of the wearings.,3
83,Female.,Female,The gender of the persons.,2
84,Tennis.,Tennis,The name of the game.,5
85,Unknown,One,The number of player.,4
86,Clock Tower,Clock Tower,The type of tower.,3
87,1 flag,Flags: Information not provided.,The number of flags.,3
88,One person.,One person,The number of people.,4
89,Skateboarding,Skateboarding,The sport.,4
90,Plate of food,Two plates.,The presence of plate.,4
91,One plate.,2 plates,The number of plates.,4
92,Messy bedding.,Two pillows.,What is on the bed.,4
93,Bedroom,Bedroom,Type of room.,2
94,Bedroom essentials,Bedroom items,The name of the objects.,3
95,White,Not Specified,The color of the sheets.,1
96,Vase,Clock,The name of the object.,4
97,Clock is colorless,Black,The color of clock.,2
98,Broccoli,Carrot,Type of vegetable.,5
99,Leftovers,Side dish.,Type of dish.,4
100,Stuffed animals,Bears,The animal.,4
101,Several stuffed animals,Three,The number of animal.,3
102,Walking.,Walking.,The action of people.,2
103,Pedestrians.,Street Clocks.,The people on street.,1
104,Tennis.,Tennis,The name of the game.,4
105,Tennis Court,City court,The name of the ground.,4
106,Female.,Female,The person's gender.,5
107,Adult,Not provided.,The person's age.,1
108,Laptop case.,List of items,The name of the object.,4
109,Five objects,Eight,The number of object.,2
110,Gray,Black and white,The color of the animal.,5
111,Cat,Cat,The name of the animal.,2
112,Forehand strike.,Tennis serve,The  name of the action.,4
113,Tennis,Tennis,The name of the game.,4
114,Cat,Cat,The type of animal.,5
115,Sink.,Toilet Bowl,Where the animal sits.,2
116,Assorted Pastries,Blue plate with cake,The name of the dish.,1
117,White,Blue,The color of the plate.,1
118,Cat,Cat,The type of animal.,5
119,Observant,Angry,The animal's demeanor.,2
120,Skiing,Skiing,The person's hobby.,2
121,Single,Two people.,The number of people.,1
122,Cellphone,Cell Phone,The type of device.,5
123,Plant,Statue of Jesus and a travel mug,The objects near the device.,2
124,Chicago-style,Margarita,The pizza type.,5
125,Deep dish pizza,Margarita pizza,The food.,2
126,Traffic light,Headlights,The name of the object.,3
127,Red,Red,The color of the traffic light.,3
128,Small,Miniature model,The size of the object.,4
129,Air Travel,Illustrative,The style of conveyance.,4
130,Furniture and decor,Furnished room.,The properties in room.,5
131,Living room,Living Room,The place living room.,4
132,Tennis,Tennis,The sport.,5
133,One person.,One player.,The number of people.,4
134,Toy animals.,Toys.,The toys.,3
135,Zebra-themed car.,Decorated_car,The car.,3
136,Plate,Plate,The flattest object.,5
137,Side dish nutrition.,Side Dish Nutrition,The nutritional value of side dishes.,3
138,Doorstep,Crosswalk,The place.,5
139,Blue,Red,The color of object.,1
140,Skateboarding,Skateboarding.,The name of sport.,5
