,condition,label,sentence
0,staff,negative,But the staff was so horrible to us.
1,service,negative,But the staff was so horrible to us.
2,food,positive,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
3,food,positive,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
4,anecdotes/miscellaneous,negative,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
5,food,positive,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
6,kitchen,positive,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
7,menu,neutral,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
8,food,positive,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
9,service,positive,Where Gabriela personaly greets you and recommends you what to eat.
10,anecdotes/miscellaneous,positive,"For those that go once and don't enjoy it, all I can say is that they just don't get it."
11,food,positive,"Not only was the food outstanding, but the little 'perks' were great."
12,perks,positive,"Not only was the food outstanding, but the little 'perks' were great."
13,food,positive,"Not only was the food outstanding, but the little 'perks' were great."
14,service,positive,"Not only was the food outstanding, but the little 'perks' were great."
15,food,negative,It is very overpriced and not very tasty.
16,price,negative,It is very overpriced and not very tasty.
17,orrechiete with sausage and chicken,positive,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
18,waiters,positive,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
19,meats,neutral,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
20,dish,neutral,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
21,food,positive,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
22,service,positive,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
23,Bagels,positive,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
24,food,positive,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
25,food,positive,Nevertheless the food itself is pretty good.
26,food,positive,Nevertheless the food itself is pretty good.
27,toast,negative,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
28,mayonnaise,negative,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
29,bacon,negative,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
30,cheese,neutral,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
31,ingredients,negative,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
32,plate,neutral,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
