text,condition,label,score
although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .,service,Positive,2
"by far , the best pizza in manhattan .",pizza,Positive,2
the wine list is excellent .,wine list,Positive,2
"also it 's great to have dinner in a very romantic and confortable place , the service it 's just perfect ... they're so frendly that we never want to live the place !",service,Positive,2
and yes dal bukhara is so dam good and so are all the kababs .,dal bukhara,Positive,2
"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",crab dumplings,Positive,2
the service was the only thing good about this restaurant .,restaurant,Negative,0
"you can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( i recommend the vanilla shanty , mmmm ! ) in a great homey setting with great music .",music,Positive,2
"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",sushi,Positive,2
"great food , great prices , great service .",food,Positive,2
"however , go for the ambience , and consider the food just a companion for a trip across the world !",food,Neutral,1
"service here was great , food was fantastic .",service,Positive,2
the place is small and cramped but the food is fantastic .,food,Positive,2
the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere .,atmosphere,Positive,2
it is definitely a good spot for snacks and chat .,spot,Positive,2
service is fast and friendly .,service,Positive,2
"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",thai food,Positive,2
the food was exceptional .,food,Positive,2
"try the pad thai , or sample anything on the appetizer menu ... they 're all delicious .",appetizer menu,Positive,2
"during the course of the past 3 months , the chef and staff changed and it was not for the better .",staff,Negative,0
get the tuna of gari .,tuna of gari,Positive,2
with the theater 2 blocks away we had a delicious meal in a beautiful room .,meal,Positive,2
the sushi was awful !,sushi,Negative,0
wine list selection is good and wine - by - the - glass was generously filled to the top .,wine list selection,Positive,2
"the back garden sitting area is very pleasant , where you can see their personal herb garden .",back garden sitting area,Positive,2
the service was the only thing good about this restaurant .,service,Positive,2
"i 've also been amazed at all the new additions in the past few years : a new jazz bar , the most fantastic dining garden , the best thin crust pizzas , and now a lasagna menu which is to die for ( these are not your average lasagnas ) !",thin crust pizzas,Positive,2
"i have known about this secret for the last 13 years , emilio(the godfather ) has continued to serve food and wine for the gods at mortal prices .",food,Positive,2
the pizza and wine were excellent - the service too -- but what really made this place was the backyard dining area .,service,Positive,2
it 's a rather cramped and busy restaurant and it closes early .,restaurant,Negative,0
the wine list is extensive and impressive .,wine list,Positive,2
great neighborhood joint .,joint,Positive,2
we all agreed that mare is one of the best seafood restaurants in new york .,mare,Positive,2
this little place has a cute interior decor and affordable city prices .,interior decor,Positive,2
this is an amazing place to try some roti rolls .,roti rolls,Positive,2
although we were looking for regular lettuce and some walnuts the salads we got were great .,salads,Positive,2
prices too high for this cramped and unappealing resturant .,resturant,Negative,0
"try the congee and the donut like deep fried dough they call ow ley soh , a delicious and sweet tasting bread .",congee,Positive,2
"great food , good size menu , great service and an unpretensious setting .",menu,Positive,2
"the ambience was so fun , and the prices were great , on top of the fact that the food was really tasty .",food,Positive,2
"furthermore , the rice had no seasoning , so the sushi was bland and disgusting .",rice,Negative,0
quick and friendly service .,service,Positive,2
"do n't judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",place,Positive,2
"their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request !",sake list,Positive,2
the food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .,food,Positive,2
"however , i think jeckll and hydes t is one of those places that is fun to do once .",jeckll and hydes,Positive,2
this is the best sushi in new york city - hands down .,sushi,Positive,2
not the typical nyc gimmick theme restaurant .,restaurant,Positive,2
go to volare for 1st class service and terrific food .,service,Positive,2
the food was lousy - too sweet or too salty and the portions tiny .,portions,Negative,0
"the atmosphere is nothing special , but it feels like a sushi establishment in tokyo .",atmosphere,Positive,2
i really liked this place .,place,Positive,2
"the food was not fresh , the sauces were bland and very oily .",food,Negative,0
"the wait staff is very freindly , they make it feel like you 're eating in a freindly little european town .",wait staff,Positive,2
"if you do n't mind pre - sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place .",sushi chef,Negative,0
"went here last night - nice decor , good service , but the food was surprisingly excellent .",service,Positive,2
"the ambience was nice , but service was n't so great .",service,Negative,0
i have never before eaten 40 pieces of relatively good nigiri .,nigiri,Neutral,1
"but after last night , spice grill is the only place i 'm eating indian cuisine .",indian cuisine,Positive,2
"guacamole+shrimp appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared .",filet,Positive,2
"i have eaten at saul , many times , the food is always consistently , outrageously good .",food,Positive,2
"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",atmosphere,Positive,2
"if you are looking for a good quality , cheap eats - this is the place .",eats,Positive,2
"the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",staff,Positive,2
"interesting selection , good wines , service fine , fun decor .",wines,Positive,2
"the atmosphere is unheralded , the service impecible , and the food magnificant .",food,Positive,2
we both opted for a pasta dish and they were served timely and fresh .,pasta dish,Positive,2
"downtown dinner 2002 - prixe fix : appetizers were ok , waiter gave me poor suggestion .. try the potato stuff kanish best one .",appetizers,Neutral,1
i got an excellent piece of cheesecake and we had several other nice pastries .,cheesecake,Positive,2
traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,hall,Negative,0
wine list is extensive without being over - priced .,wine list,Positive,2
decor is nice though service can be spotty .,service,Negative,0
"the view is spectacular , and the food is great .",food,Positive,2
i did not try the caviar but i tried their salmon and crab salad ( they are all good ),crab salad,Positive,2
if you 've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .,view,Positive,2
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,service,Positive,2
the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere .,dishes,Positive,2
"the chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm .",cheeseburger,Positive,2
"food was okay , nothing great .",food,Neutral,1
mermaid inn is an overall good restaurant with really good seafood .,mermaid inn,Positive,2
"nice atmosphere , the service was very pleasant and the desert was good .",desert,Positive,2
"they have it all -- great price , food , and service .",service,Positive,2
the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n't like .,prixe fixe tasting menu,Positive,2
if you like your music blasted and the system is nt that great and if you want to pay at least 100 dollar bottle minimun then you 'll love it here .,bottle,Negative,0
"delicate spices , onions , eggs and a kick - ass roti .",roti,Positive,2
this place is so much fun .,place,Positive,2
"the food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment .",food,Positive,2
love yuka .,yuka,Positive,2
"great spot , whether looking for a couple of drinks or quiet dinner .",spot,Positive,2
try the sea bass .,sea bass,Positive,2
"from the spectacular caviar to the hospitable waitstaff , i felt like royalty and enjoyed every second of it .",waitstaff,Positive,2
"whoever the jazz duo was , they were on point .",jazz duo,Positive,2
my roommate and i love this place .,place,Positive,2
